epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,146.222,0.4657,0.41193,0.94147,0.97187,0.6,0.89786,0.64192,1.07088,1.20602,0.97653,0.0490025,2.52501e-06,2.52501e-06
53,149.45,0.45549,0.41941,0.97361,0.97246,0.6,0.89786,0.65133,1.05926,1.17934,0.96855,0.0480025,2.52304e-06,2.52304e-06
54,152.634,0.5145,0.40197,0.983,1,0.77306,0.96167,0.66691,1.01452,1.15848,0.96244,0.0470025,2.51909e-06,2.51909e-06
55,155.963,0.65278,0.5788,0.89216,1,0.78185,0.96167,0.69676,0.96387,1.08373,0.9458,0.0460025,2.51316e-06,2.51316e-06
56,159.214,0.47275,0.44153,0.96335,1,0.78937,0.96167,0.71021,0.91248,1.02439,0.93522,0.0450025,2.50525e-06,2.50525e-06
57,162.444,0.55649,0.47221,0.99194,1,0.96136,0.995,0.73499,0.90257,0.94589,0.92741,0.0440025,2.49536e-06,2.49536e-06
58,165.692,0.35445,0.3123,0.90135,1,0.99419,0.995,0.73507,0.8905,0.83214,0.91585,0.0430025,2.48349e-06,2.48349e-06
59,168.973,0.48837,0.43148,0.92356,0.98672,1,0.995,0.78468,0.8595,0.72164,0.90219,0.0420025,2.46964e-06,2.46964e-06
60,172.213,0.46444,0.36293,0.90934,0.98375,1,0.995,0.79163,0.8355,0.62406,0.89256,0.0410025,2.45381e-06,2.45381e-06
61,175.42,0.59217,0.46275,0.9445,0.98401,1,0.995,0.80387,0.80167,0.57213,0.88713,0.0400024,2.436e-06,2.436e-06
62,178.884,0.48319,0.31499,0.98894,0.98495,1,0.995,0.80403,0.77978,0.51634,0.88293,0.0390024,2.41621e-06,2.41621e-06
63,182.134,0.41434,0.39111,0.92203,0.98604,1,0.995,0.77661,0.76703,0.48437,0.8809,0.0380024,2.39444e-06,2.39444e-06
64,185.124,0.43333,0.3444,0.9487,0.98771,1,0.995,0.76417,0.77011,0.47161,0.88277,0.0370024,2.37069e-06,2.37069e-06
65,188.042,0.3535,0.39199,0.91242,0.98845,1,0.995,0.76451,0.76577,0.4506,0.88198,0.0360023,2.34496e-06,2.34496e-06
66,190.936,0.49806,0.38634,1.01151,0.98893,1,0.995,0.79196,0.76955,0.43368,0.88068,0.0350023,2.31725e-06,2.31725e-06
67,193.893,0.42236,0.38481,0.96973,0.98929,1,0.995,0.79254,0.7769,0.41553,0.88124,0.0340023,2.28756e-06,2.28756e-06
68,196.801,0.37911,0.34925,0.8701,0.98952,1,0.995,0.79307,0.78124,0.40428,0.88339,0.0330023,2.25589e-06,2.25589e-06
69,199.764,0.37155,0.35583,0.92744,0.98973,1,0.995,0.79307,0.78246,0.39207,0.88535,0.0320022,2.22224e-06,2.22224e-06
70,202.733,0.43966,0.40725,0.92459,0.98988,1,0.995,0.79764,0.77395,0.383,0.88718,0.0310022,2.18661e-06,2.18661e-06
71,205.693,0.47778,0.3393,0.98611,0.99008,1,0.995,0.82843,0.76982,0.35488,0.88761,0.0300021,2.149e-06,2.149e-06
72,209.334,0.43913,0.36252,0.94379,0.99008,1,0.995,0.81078,0.75807,0.34231,0.88668,0.0290021,2.10941e-06,2.10941e-06
73,212.429,0.42544,0.33983,0.93444,0.99018,1,0.995,0.85465,0.74217,0.32656,0.88412,0.0280021,2.06784e-06,2.06784e-06
74,215.783,0.56537,0.36526,1.00238,0.99028,1,0.995,0.87548,0.72601,0.31193,0.88219,0.027002,2.02429e-06,2.02429e-06
75,219.184,0.37743,0.33893,0.87163,0.99039,1,0.995,0.88031,0.70918,0.31654,0.88061,0.026002,1.97876e-06,1.97876e-06
76,222.551,0.46828,0.35426,0.96292,0.9905,1,0.995,0.86075,0.69485,0.29805,0.88026,0.0250019,1.93125e-06,1.93125e-06
77,225.64,0.43222,0.40143,0.98519,0.9905,1,0.995,0.85408,0.68691,0.29259,0.87952,0.0240019,1.88176e-06,1.88176e-06
78,228.705,0.36981,0.27551,0.93681,0.99067,1,0.995,0.85427,0.67536,0.28756,0.87952,0.0230018,1.83029e-06,1.83029e-06
79,231.614,0.39128,0.34304,0.97125,0.99047,1,0.995,0.85447,0.6513,0.30242,0.87987,0.0220018,1.77684e-06,1.77684e-06
80,234.518,0.31657,0.29792,0.89024,0.99051,1,0.995,0.85468,0.64673,0.29315,0.87803,0.0210017,1.72141e-06,1.72141e-06
81,237.419,0.46205,0.39222,0.91445,0.99038,1,0.995,0.87466,0.64593,0.28752,0.87597,0.0200017,1.664e-06,1.664e-06
82,240.62,0.36694,0.30037,0.88333,0.9903,1,0.995,0.85515,0.64089,0.28825,0.87423,0.0190016,1.60461e-06,1.60461e-06
83,243.755,0.57237,0.40516,0.99381,0.99026,1,0.995,0.86588,0.63781,0.28504,0.87244,0.0180015,1.54324e-06,1.54324e-06
84,246.771,0.44396,0.33035,0.94349,0.9903,1,0.995,0.84334,0.63411,0.28471,0.87181,0.0170015,1.47989e-06,1.47989e-06
85,249.823,0.32798,0.27986,0.91233,0.99044,1,0.995,0.84358,0.63096,0.29042,0.87083,0.0160014,1.41456e-06,1.41456e-06
86,252.903,0.33354,0.25511,0.91189,0.99041,1,0.995,0.84334,0.62154,0.27843,0.87065,0.0150013,1.34725e-06,1.34725e-06
87,255.992,0.33875,0.30471,0.88971,0.99059,1,0.995,0.84313,0.61836,0.27676,0.8692,0.0140013,1.27796e-06,1.27796e-06
88,259.057,0.33688,0.30438,0.91004,0.99053,1,0.995,0.84712,0.61289,0.26724,0.86834,0.0130012,1.20669e-06,1.20669e-06
89,262.117,0.40112,0.33666,0.916,0.99065,1,0.995,0.86771,0.61521,0.26959,0.86752,0.0120011,1.13344e-06,1.13344e-06
90,265.21,0.36921,0.37889,0.98175,0.99057,1,0.995,0.86771,0.60927,0.26822,0.86742,0.0110011,1.05821e-06,1.05821e-06
91,271.668,0.18454,0.18175,0.78831,0.99067,1,0.995,0.86751,0.61317,0.25655,0.86571,0.010001,9.81e-07,9.81e-07
92,275.087,0.26698,0.20728,0.84187,0.99057,1,0.995,0.86751,0.61437,0.25081,0.86548,0.0090009,9.0181e-07,9.0181e-07
93,278.189,0.27941,0.22857,0.79138,0.99057,1,0.995,0.86732,0.6148,0.2503,0.86499,0.00800082,8.2064e-07,8.2064e-07
94,281.305,0.2129,0.20132,0.77745,0.99057,1,0.995,0.86732,0.60472,0.25034,0.86524,0.00700074,7.3749e-07,7.3749e-07
95,284.4,0.1858,0.19236,0.81692,0.99065,1,0.995,0.86732,0.6031,0.25547,0.86412,0.00600065,6.5236e-07,6.5236e-07
96,287.455,0.18009,0.15396,0.76942,0.99065,1,0.995,0.86751,0.59697,0.25988,0.86439,0.00500057,5.6525e-07,5.6525e-07
97,290.507,0.20883,0.22697,0.82255,0.99072,1,0.995,0.86751,0.59829,0.24899,0.86215,0.00400048,4.7616e-07,4.7616e-07
98,293.543,0.17172,0.16086,0.71708,0.99064,1,0.995,0.86771,0.59549,0.25031,0.86147,0.00300039,3.8509e-07,3.8509e-07
99,296.598,0.21056,0.16762,0.71877,0.99065,1,0.995,0.86771,0.58978,0.24616,0.86085,0.00200029,2.9204e-07,2.9204e-07
100,299.651,0.18489,0.16361,0.74891,0.99066,1,0.995,0.86771,0.58168,0.24824,0.86071,0.0010002,1.9701e-07,1.9701e-07
